object_id,timeperiod,max_rain,mean_rain,sum_rain,mean_ndvi,mean_ndbi,sum_population,sum_aged_population,sum_young_population,mean_sex_ratio,total_hhd,net_sown_area_in_hac,schools_count,health_centres_count,road_length,distance_from_river,drainage_density,elevation_mean,slope_mean,mean_cn,impact,next_month_impact
18-300-00101,2021_04,0.2142620391845703,0.1717458574839121,166.24999004442694,0.3676035855066142,0.001126523773478,327337.7812499999,17667.139999999898,34582.947,0.9374801638901996,62460.0,32583.05,759,49,197887.35118101892,1718.76663843439,0.000542,78.79219717147465,84.47987995648423,76.3699859162276,0,0.0
18-300-00101,2021_05,0.3448828753471374,0.3108671256435681,300.9193776229739,0.4836019176876107,-0.0602248611661029,327337.7812499999,17667.139999999898,34582.947,0.9374801638901996,62460.0,32583.05,759,49,197887.35118101892,1718.76663843439,0.000542,78.79219717147465,84.47987995648423,76.3699859162276,0,0.0
18-300-00101,2021_06,1.346394060230255,0.9449645663332842,914.725700210619,0.5670284920834793,-0.1474257180546227,327337.7812499999,17667.139999999898,34582.947,0.9374801638901996,62460.0,32583.05,759,49,197887.35118101892,1718.76663843439,0.000542,78.79219717147465,84.47987995648423,76.3699859162276,0,0.0
18-300-00101,2021_07,0.9750522497177124,0.814687186652939,788.617196680045,0.6625496137260211,-0.1570215097685271,327337.7812499999,17667.139999999898,34582.947,0.9374801638901996,62460.0,32583.05,759,49,197887.35118101892,1718.76663843439,0.000542,78.79219717147465,84.47987995648423,76.3699859162276,0,0.0
18-300-00101,2021_08,1.3089834366559985,0.822254339059399,795.9422002094983,0.6625496137260211,-0.1570215097685271,327337.7812499999,17667.139999999898,34582.947,0.9374801638901996,62460.0,32583.05,759,49,197887.35118101892,1718.76663843439,0.000542,78.79219717147465,84.47987995648423,76.3699859162276,0,0.0
18-300-00101,2021_09,0.5335700027704239,0.4104004566229079,397.2676420109749,0.6625496137260211,-0.1570215097685271,327337.7812499999,17667.139999999898,34582.947,0.9374801638901996,62460.0,32583.05,759,49,197887.35118101892,1718.76663843439,0.000542,78.79219717147465,84.47987995648423,76.3699859162276,0,0.0
18-300-00101,2021_10,0.525471572959423,0.4185391919667686,405.14593782383207,0.7386735126061087,-0.199521141052246,327337.7812499999,17667.139999999898,34582.947,0.9374801638901996,62460.0,32583.05,759,49,197887.35118101892,1718.76663843439,0.000542,78.79219717147465,84.47987995648423,76.3699859162276,0,0.0
18-300-00101,2021_11,0.0138368412494659,0.0048955718603015,4.738913560771943,0.6809977374589886,-0.204784790058135,327337.7812499999,17667.139999999898,34582.947,0.9374801638901996,62460.0,32583.05,759,49,197887.35118101892,1718.76663843439,0.000542,78.79219717147465,84.47987995648423,76.3699859162276,0,0.0
18-300-00101,2021_12,0.0019140398025512,0.0005737114845228,0.5553527170181275,0.6309534610652536,-0.1528773178603063,327337.7812499999,17667.139999999898,34582.947,0.9374801638901996,62460.0,32583.05,759,49,197887.35118101892,1718.76663843439,0.000542,78.79219717147465,84.47987995648423,76.3699859162276,0,0.0
18-300-00101,2022_01,0.0267675396442413,0.0127727886301303,12.364059393966198,0.5870967420385897,-0.1065724507939066,326890.0499999998,18245.42200000002,34548.42199999999,0.937670950446519,62460.0,32583.05,759,49,197887.35118101892,1718.76663843439,0.000542,78.79219717147465,84.47987995648423,76.3699859162276,0,0.0
18-300-00101,2022_02,0.1123511532783508,0.1032522936616554,99.9482202644825,0.5105062094768774,-0.0641881877759651,326890.0499999998,18245.42200000002,34548.42199999999,0.937670950446519,62460.0,32583.05,759,49,197887.35118101892,1718.76663843439,0.000542,78.79219717147465,84.47987995648423,76.3699859162276,0,0.0
18-300-00101,2022_03,0.0595027456283569,0.0360577086307293,34.90386195454598,0.4653832218211291,-0.026011769732943,326890.0499999998,18245.42200000002,34548.42199999999,0.937670950446519,62460.0,32583.05,759,49,197887.35118101892,1718.76663843439,0.000542,78.79219717147465,84.47987995648423,76.3699859162276,0,0.0
18-300-00101,2022_04,0.9782809661865236,0.8045297760549164,778.7848232211591,0.4554794910686386,0.0157930748737608,326890.0499999998,18245.42200000002,34548.42199999999,0.937670950446519,62460.0,32583.05,759,49,197887.35118101892,1718.76663843439,0.000542,78.79219717147465,84.47987995648423,76.3699859162276,0,0.0
18-300-00101,2022_05,1.1571578079223634,1.091260848295578,1056.3405011501195,0.6110890380498398,-0.1078334824334291,326890.0499999998,18245.42200000002,34548.42199999999,0.937670950446519,62460.0,32583.05,759,49,197887.35118101892,1718.76663843439,0.000542,78.79219717147465,84.47987995648423,76.3699859162276,0,1.0
18-300-00101,2022_06,2.435568076133728,2.1832304447388102,2113.367070507168,0.6298799136320435,-0.1654883046480285,326890.0499999998,18245.42200000002,34548.42199999999,0.937670950446519,62460.0,32583.05,759,49,197887.35118101892,1718.76663843439,0.000542,78.79219717147465,84.47987995648423,76.3699859162276,1,0.0
18-300-00101,2022_07,0.7596842461824418,0.4760831200951633,460.8484602521181,0.6298799136320435,-0.1654883046480285,326890.0499999998,18245.42200000002,34548.42199999999,0.937670950446519,62460.0,32583.05,759,49,197887.35118101892,1718.76663843439,0.000542,78.79219717147465,84.47987995648423,76.3699859162276,0,0.0
18-300-00101,2022_08,1.033712387228012,0.5701779120194641,551.9322188348413,0.617702825351357,-0.1340734085547957,326890.0499999998,18245.42200000002,34548.42199999999,0.937670950446519,62460.0,32583.05,759,49,197887.35118101892,1718.76663843439,0.000542,78.79219717147465,84.47987995648423,76.3699859162276,0,0.0
18-300-00101,2022_09,0.6206201225280762,0.4447027748861958,430.4722860898375,0.730692127778599,-0.2439344402231615,326890.0499999998,18245.42200000002,34548.42199999999,0.937670950446519,62460.0,32583.05,759,49,197887.35118101892,1718.76663843439,0.000542,78.79219717147465,84.47987995648423,76.3699859162276,0,0.0
18-300-00101,2022_10,0.6099110272169114,0.5146498268344432,498.181032375741,0.575934858441408,-0.1876382219657055,326890.0499999998,18245.42200000002,34548.42199999999,0.937670950446519,62460.0,32583.05,759,49,197887.35118101892,1718.76663843439,0.000542,78.79219717147465,84.47987995648423,76.3699859162276,0,0.0
18-300-00101,2022_11,0.0,0.0,0.0,0.7490078242989011,-0.2374466122776808,326890.0499999998,18245.42200000002,34548.42199999999,0.937670950446519,62460.0,32583.05,759,49,197887.35118101892,1718.76663843439,0.000542,78.79219717147465,84.47987995648423,76.3699859162276,0,0.0
