iter	Logloss
0	0.6608743808
1	0.6303411718
2	0.5938349325
3	0.5690153174
4	0.5492615087
5	0.5257327099
6	0.5100333819
7	0.4924715569
8	0.4787286619
9	0.464017392
10	0.4521284347
11	0.4429448335
12	0.4329494277
13	0.4258197799
14	0.4179952221
15	0.409675183
16	0.4046391023
17	0.3982994746
18	0.3933972526
19	0.3896590334
20	0.3860464227
21	0.3822414904
22	0.3782554532
23	0.375914717
24	0.3729344437
25	0.3688684992
26	0.3665002929
27	0.363297416
28	0.3605698119
29	0.357645035
30	0.3553315526
31	0.3525889002
32	0.3502298403
33	0.3488477455
34	0.3473133446
35	0.3460829996
36	0.3447112254
37	0.3431246035
38	0.3416915546
39	0.3398564658
40	0.3381016553
41	0.3363127312
42	0.3352469286
43	0.3340436211
44	0.3330006228
45	0.3301485536
46	0.3291908392
47	0.327804233
48	0.326369052
49	0.3250613025
50	0.3240057279
51	0.3226617945
52	0.3214617624
53	0.3208953965
54	0.3205184475
55	0.3190646956
56	0.3175577648
57	0.3159749745
58	0.3148101066
59	0.3136548486
60	0.3129110549
61	0.3120207334
62	0.3106323659
63	0.3093788459
64	0.3084950134
65	0.3078683616
66	0.3069800486
67	0.3063540457
68	0.3054645894
69	0.3049397839
70	0.3043922361
71	0.3039746845
72	0.3032927526
73	0.3025375259
74	0.301846942
75	0.3013857287
76	0.3007243453
77	0.2995392688
78	0.299064614
79	0.2985916587
80	0.2977758062
81	0.2973063735
82	0.2959656229
83	0.2952798903
84	0.2942771237
85	0.2936333533
86	0.2927871879
87	0.291816681
88	0.2910883064
89	0.2905335897
90	0.2900032841
91	0.28938411
92	0.2887124678
93	0.2880550705
94	0.2877912772
95	0.287462594
96	0.2867331379
97	0.2861069496
98	0.285416551
99	0.2850773927
100	0.2844074809
101	0.283845441
102	0.2833790674
103	0.28270038
104	0.2818222331
105	0.2811850753
106	0.2797926907
107	0.279265506
108	0.2790324891
109	0.2786346208
110	0.2783138171
111	0.2774273581
112	0.2769113901
113	0.2761795547
114	0.2755462284
115	0.275016788
116	0.2745987111
117	0.274225501
118	0.2736616997
119	0.273203082
120	0.2728444876
121	0.2720047804
122	0.2718224395
123	0.2714436983
124	0.2712069735
125	0.2708134312
126	0.2699391777
127	0.2695067632
128	0.2688520542
129	0.2680171364
130	0.2675746176
131	0.267061276
132	0.2665946244
133	0.2659700119
134	0.2654605329
135	0.2643763757
136	0.2640216747
137	0.263144733
138	0.26269795
139	0.2620692587
140	0.2616401815
141	0.2613652951
142	0.2608455264
143	0.2606325945
144	0.2603461516
145	0.2596819254
146	0.2593332499
147	0.2587956518
148	0.2583305142
149	0.2580897106
150	0.2576087522
151	0.2573990185
152	0.2567990334
153	0.2564980211
154	0.256150288
155	0.2554641537
156	0.2549778033
157	0.2547232801
158	0.254160205
159	0.2539090962
160	0.2534480683
161	0.2530883924
162	0.2529545336
163	0.2524044829
164	0.2519331498
165	0.2516369116
166	0.2511610517
167	0.2507185793
168	0.2502187101
169	0.2497137425
170	0.2491237689
171	0.2486751937
172	0.2480935323
173	0.2475170466
174	0.2471186221
175	0.2465179726
176	0.2461007918
177	0.2457813941
178	0.2452949664
179	0.2449836335
180	0.2445110336
181	0.2441007589
182	0.2433195917
183	0.2427534266
184	0.2424607264
185	0.2420174506
186	0.2415282419
187	0.2410268895
188	0.2407008637
189	0.2404113308
190	0.2400653745
191	0.2393693213
192	0.2390606922
193	0.2387829167
194	0.2384538163
195	0.2379793469
196	0.237557423
197	0.2366215704
198	0.2360611372
199	0.2357823266
200	0.2352482048
201	0.2345439167
202	0.2341844262
203	0.2337045339
204	0.2333047653
205	0.2326599906
206	0.2323223618
207	0.2316842924
208	0.2312723646
209	0.2305262689
210	0.2296645454
211	0.2292399486
212	0.2288732738
213	0.2283904305
214	0.2280176839
215	0.2275314726
216	0.2271803251
217	0.2266336115
218	0.2263590651
219	0.2257281799
220	0.2250995196
221	0.2247398746
222	0.2244602606
223	0.2240842695
224	0.2237204066
225	0.2232316151
226	0.2226472035
227	0.2221141787
228	0.2218081452
229	0.2212608445
230	0.2208882524
231	0.2203809054
232	0.2198716118
233	0.2196690005
234	0.219124759
235	0.2187109463
236	0.2183126763
237	0.2178618763
238	0.2172290754
239	0.2168220298
240	0.2165251735
241	0.2160713145
242	0.2157950685
243	0.2152934072
244	0.2145274582
245	0.2142063145
246	0.2137526563
247	0.2132282371
248	0.2127612146
249	0.2122957989
250	0.2117848676
251	0.2112285132
252	0.2105888216
253	0.2102669055
254	0.209963035
255	0.2095634363
256	0.2089357802
257	0.2084590088
258	0.2080309512
259	0.207631816
260	0.2071768908
261	0.2066259903
262	0.2062077435
263	0.2058486392
264	0.2054195774
265	0.2048672555
266	0.2044292018
267	0.2037697959
268	0.2034626655
269	0.2029910234
270	0.2025087209
271	0.2020962369
272	0.2017460319
273	0.2012278853
274	0.2005248951
275	0.2002291049
276	0.199868641
277	0.1994600196
278	0.1990241597
279	0.1984438424
280	0.1980246686
281	0.197794031
282	0.1973624663
283	0.1967815928
284	0.1962691782
285	0.1959729555
286	0.195580232
287	0.1952580069
288	0.194721892
289	0.1942487514
290	0.1938305509
291	0.1932443162
292	0.1929570853
293	0.1926669962
294	0.1922833883
295	0.1918644462
296	0.1914533836
297	0.1910762028
298	0.1907905324
299	0.1903192921
300	0.1900215089
301	0.1896714738
302	0.1894387196
303	0.1891355443
304	0.1888340685
305	0.1886135198
306	0.1883354199
307	0.188112322
308	0.1878575206
309	0.1876127772
310	0.1871508533
311	0.186744163
312	0.186486797
313	0.1862003695
314	0.185704471
315	0.1853993027
316	0.1849036668
317	0.1844534848
318	0.1841770071
319	0.183683766
320	0.1833636885
321	0.183107234
322	0.1829353528
323	0.1826203273
324	0.1820092955
325	0.1816355292
326	0.1811137364
327	0.1808645126
328	0.1803365244
329	0.1798586251
330	0.1795743761
331	0.1790415212
332	0.1787394583
333	0.1784363912
334	0.1781601762
335	0.1779321342
336	0.177588928
337	0.1772597504
338	0.1769789158
339	0.1764809779
340	0.1762012866
341	0.1757748204
342	0.1753245766
343	0.1748517449
344	0.174383023
345	0.1741124317
346	0.1738413461
347	0.1733761776
348	0.1732719056
349	0.1730229598
350	0.1727587031
351	0.1726254623
352	0.1724583552
353	0.1722994519
354	0.1720326614
355	0.1717851988
356	0.1714017454
357	0.171059976
358	0.1706242861
359	0.1704086969
360	0.169895927
361	0.1697404846
362	0.1696171936
363	0.1692848487
364	0.1687881777
365	0.1685182045
366	0.1684051569
367	0.1681454888
368	0.1678261683
369	0.1675279833
370	0.1671191146
371	0.1668745258
372	0.1663940927
373	0.1661269159
374	0.1657262048
375	0.1653044199
376	0.165098008
377	0.1647120207
378	0.1644761147
379	0.1640265508
380	0.1637575663
381	0.1634073458
382	0.1631103042
383	0.1628946841
384	0.1626290214
385	0.1624318949
386	0.1622388008
387	0.1618712454
388	0.1615716545
389	0.1613700939
390	0.161103566
391	0.160899487
392	0.160440823
393	0.1602898765
394	0.1601817575
395	0.1600703012
396	0.1599258128
397	0.1595365656
398	0.1592671486
399	0.1591277124
400	0.1588587898
401	0.1584582177
402	0.1582786579
403	0.1580210137
404	0.1575861427
405	0.1573026971
406	0.1570737127
407	0.1569385561
408	0.1566742376
409	0.1564540133
410	0.1560261102
411	0.1558607026
412	0.1556492848
413	0.1553462177
414	0.1550459934
415	0.1548137182
416	0.1546469818
417	0.1544361975
418	0.1542615971
419	0.1540298935
420	0.153835718
421	0.1536836746
422	0.1532905803
423	0.1529958407
424	0.1528170225
425	0.1526819123
426	0.1524731828
427	0.1520175933
428	0.151654812
429	0.1513623281
430	0.151069458
431	0.1509066305
432	0.1506394383
433	0.1504231383
434	0.1502580397
435	0.1499401096
436	0.149731751
437	0.1494779076
438	0.1493165478
439	0.1490331794
440	0.1486379994
441	0.1483592197
442	0.148116423
443	0.1479312085
444	0.1476639853
