iter	Logloss
445	0.1473343288
446	0.1470164296
447	0.1468512846
448	0.1466217286
449	0.1463174564
450	0.1461761816
451	0.1458128904
452	0.1454251419
453	0.1452635813
454	0.1451567291
455	0.1450047011
456	0.1448294209
457	0.1447101933
458	0.1445209309
459	0.1442592543
460	0.1441177478
461	0.1439082458
462	0.1435587206
463	0.1433376775
464	0.1429790367
465	0.1426627753
466	0.1423310484
467	0.1421528482
468	0.1418808973
469	0.1417583325
470	0.1414744234
471	0.1412907229
472	0.1411530789
473	0.1408715028
474	0.1404125452
475	0.140116307
476	0.139830652
477	0.1395779518
478	0.1393307983
479	0.1390542279
480	0.1388679318
481	0.1387485652
482	0.138407661
483	0.1381135703
484	0.1379632419
485	0.1377779346
486	0.1374881854
487	0.1371709661
488	0.136923179
489	0.1366934994
490	0.1364397641
491	0.1361415019
492	0.1359880062
493	0.1357136452
494	0.1355360475
495	0.1353873722
496	0.1352087702
497	0.1350720532
498	0.1349382408
499	0.1347007435
